[0405/213712.855:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0405/220150.503:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0421/042324.202:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042329.223:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042334.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042339.250:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042344.263:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042349.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042354.285:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042359.301:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042404.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042409.335:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042414.350:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042419.360:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0421/042424.377:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
